order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,discount,cost,region,payment_method,order_status
ORD000001,2025-02-24,CUST00010,PROD005,Office Chair,Furniture,2,8500,0.0,10400,North,UPI,Pending
ORD000002,2026-04-15,CUST02219,PROD007,Backpack,Accessories,2,2200,20.0,2400,West,Net Banking,Pending
ORD000003,2026-02-02,CUST03122,PROD010,Watch,Accessories,2,5500,0.0,6200,South,Net Banking,Completed
ORD000004,2025-09-24,CUST01101,PROD002,Smartphone,Electronics,3,28000,10.0,57000,South,UPI,Completed
ORD000005,2025-09-20,CUST01967,PROD006,Desk,Furniture,1,12000,5.0,7600,South,Debit Card,Completed
ORD000006,2026-06-06,CUST03259,PROD003,Headphones,Electronics,5,3500,5.0,10500,South,COD,Completed
ORD000007,2025-02-22,CUST02373,PROD005,Office Chair,Furniture,3,8500,20.0,15600,West,Net Banking,Completed
ORD000008,2026-02-28,CUST00325,PROD005,Office Chair,Furniture,2,8500,10.0,10400,East,UPI,Completed
ORD000009,2025-05-03,CUST01865,PROD004,Keyboard,Electronics,1,1800,0.0,1000,West,UPI,Completed
ORD000010,2025-02-27,CUST00871,PROD001,Laptop,Electronics,5,65000,0.0,240000,East,Net Banking,Completed
ORD000011,2025-11-16,CUST00233,PROD001,Laptop,Electronics,5,65000,20.0,240000,North,Credit Card,Completed
ORD000012,2026-08-16,CUST01734,PROD006,Desk,Furniture,3,12000,0.0,22800,North,Debit Card,Completed
ORD000013,2026-03-23,CUST00084,PROD003,Headphones,Electronics,2,3500,0.0,4200,West,Debit Card,Completed
ORD000014,2026-04-08,CUST00267,PROD004,Keyboard,Electronics,3,1800,5.0,3000,West,Credit Card,Completed
ORD000015,2026-03-12,CUST01024,PROD001,Laptop,Electronics,5,65000,0.0,240000,South,Credit Card,Completed
ORD000016,2026-04-23,CUST03109,PROD001,Laptop,Electronics,2,65000,20.0,96000,South,UPI,Completed
ORD000017,2025-11-08,CUST00917,PROD002,Smartphone,Electronics,4,28000,10.0,76000,West,Debit Card,Completed
ORD000018,2025-03-19,CUST01330,PROD004,Keyboard,Electronics,5,1800,15.0,5000,North,COD,Completed
ORD000019,2026-05-25,CUST02936,PROD002,Smartphone,Electronics,4,28000,15.0,76000,South,UPI,Completed
ORD000020,2025-10-01,CUST02102,PROD003,Headphones,Electronics,5,3500,5.0,10500,North,Credit Card,Completed
ORD000021,2025-10-31,CUST03387,PROD004,Keyboard,Electronics,5,1800,10.0,5000,South,Debit Card,Completed
ORD000022,2025-08-14,CUST00883,PROD003,Headphones,Electronics,1,3500,10.0,2100,East,Credit Card,Completed
ORD000023,2025-04-21,CUST01117,PROD001,Laptop,Electronics,2,65000,10.0,96000,South,UPI,Completed
ORD000024,2026-07-17,CUST01630,PROD002,Smartphone,Electronics,1,28000,0.0,19000,West,COD,Completed
ORD000025,2026-04-20,CUST02105,PROD010,Watch,Accessories,3,5500,10.0,9300,East,Credit Card,Completed
ORD000026,2026-01-26,CUST03178,PROD007,Backpack,Accessories,3,2200,5.0,3600,West,Credit Card,Completed
ORD000027,2025-09-02,CUST01588,PROD002,Smartphone,Electronics,1,28000,5.0,19000,West,UPI,Returned
